# the same paste with the limestone removed -- isothermal calorimetry at 20 C, per gram of binder
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: e2996fd0
# generated: 2026-09-12 10:53
# instants: 80 log-spaced over 28.0 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
# T_semiadiabatic_K: the Langavant cell of NF EN 196-9, same run
time_s,Q_J_per_g,heat_flow_W_per_g,T_semiadiabatic_K
4.152920e+05,3.226449e+02,1.681161e-04,2.975837e+02
4.499257e+05,3.281659e+02,1.509165e-04,2.969698e+02
4.874476e+05,3.335343e+02,1.354242e-04,2.964346e+02
5.280988e+05,3.387524e+02,1.214783e-04,2.959736e+02
5.721401e+05,3.438226e+02,1.089318e-04,2.955805e+02
6.198542e+05,3.487475e+02,9.765045e-05,2.952474e+02
6.715475e+05,3.535298e+02,8.751177e-05,2.949663e+02
7.275518e+05,3.581723e+02,7.840436e-05,2.947290e+02
7.882266e+05,3.626780e+02,7.022697e-05,2.945281e+02
8.539615e+05,3.670497e+02,6.288766e-05,2.943570e+02
9.251784e+05,3.712905e+02,5.630307e-05,2.942102e+02
1.002335e+06,3.754036e+02,5.039772e-05,2.940836e+02
1.085925e+06,3.793918e+02,4.510330e-05,2.939737e+02
1.176487e+06,3.832584e+02,4.035809e-05,2.938778e+02
1.274601e+06,3.870064e+02,3.610635e-05,2.937939e+02
1.380897e+06,3.906389e+02,3.229776e-05,2.937203e+02
1.496059e+06,3.941590e+02,2.888700e-05,2.936555e+02
1.620824e+06,3.975697e+02,2.583320e-05,2.935984e+02
1.755994e+06,4.008740e+02,2.309959e-05,2.935480e+02
1.902437e+06,4.040748e+02,2.065308e-05,2.935034e+02
2.061092e+06,4.071752e+02,1.846391e-05,2.934641e+02
2.232979e+06,4.101779e+02,1.650534e-05,2.934292e+02
2.419200e+06,4.130859e+02,1.561558e-05,2.934266e+02
